Player,pdga_number
Aapo Karhi,82562
Austen Bates,130724
Calvin Lonnquist,145206
Daniel Davidsson,76456
Dennis Augustsson,98130
Eetu Tuominen,131056
Fredy Meza,100457
Harry Chace,131546
Hjalte Jensen,129061
Jakub Knápek,68237
Jason Lawson,165807
Lenni Kemppainen,96736
Mathias Villota,103114
Mauri Villmann,107197
Micah Groth,113179
Morten Brenna,79859
Nicholas Gill,33838
Niilo Hongisto,214251
Noah Meintsma,56555
Onni Arminen,130692
Onni Ruusunen,131002
Samuel Hänninen,87964
Teemu Lampainen,107567
Teemu Talikainen,155087
